round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
4600,0,0,0,0,0,50.0,0.667,50.0,0.745
4700,0,0,0,0,0,50.0,0.667,50.0,0.817
4800,0,0,0,0,0,50.0,0.583,50.0,0.733
4900,0,0,0,0,0,50.0,0.583,50.0,0.718
5000,0,0,0,0,0,50.0,0.75,50.0,0.714
5100,0,0,0,0,0,50.0,0.583,50.0,0.713
5200,0,0,0,0,0,50.0,0.5,50.0,0.724
5300,0,0,0,0,0,50.0,0.667,50.0,0.713
5400,0,0,0,0,0,50.0,0.417,50.0,0.787
5500,0,0,0,0,0,50.0,0.417,50.0,0.728
5600,0,0,0,0,0,50.0,0.417,50.0,0.701
5700,0,0,0,0,0,50.0,0.5,50.0,0.731
5800,0,0,0,0,0,50.0,0.667,50.0,0.774
5900,0,0,0,0,0,50.0,0.5,50.0,0.729
6000,0,0,0,0,0,50.0,0.417,50.0,0.684
6100,0,0,0,0,0,50.0,0.75,50.0,0.682
6200,0,0,0,0,0,50.0,0.417,50.0,0.71
6300,0,0,0,0,0,50.0,0.5,50.0,0.762
6400,0,0,0,0,0,50.0,0.333,50.0,0.774
6500,0,0,0,0,0,50.0,0.583,50.0,0.727
6600,0,0,0,0,0,50.0,0.417,50.0,0.71
6700,0,0,0,0,0,50.0,0.333,50.0,0.753
6800,0,0,0,0,0,50.0,0.333,50.0,0.71
6900,0,0,0,0,0,50.0,0.583,50.0,0.701
7000,0,0,0,0,0,50.0,0.417,50.0,0.744
7100,0,0,0,0,0,50.0,0.167,50.0,0.759
7200,0,0,0,0,0,50.0,0.583,50.0,0.752
7300,0,0,0,0,0,50.0,0.583,50.0,0.673
7400,0,0,0,0,0,50.0,0.667,50.0,0.75
7500,0,0,0,0,0,50.0,0.583,50.0,0.717
7600,0,0,0,0,0,50.0,0.667,50.0,0.738
7700,0,0,0,0,0,50.0,0.583,50.0,0.773
7800,0,0,0,0,0,50.0,0.5,50.0,0.77
7900,0,0,0,0,0,50.0,0.417,50.0,0.702
8000,0,0,0,0,0,50.0,0.417,50.0,0.781
8100,0,0,0,0,0,50.0,0.667,50.0,0.714
8200,0,0,0,0,0,50.0,0.583,50.0,0.752
8300,0,0,0,0,0,50.0,0.583,50.0,0.777
8400,0,0,0,0,0,50.0,0.333,50.0,0.725
8500,0,0,0,0,0,50.0,0.667,50.0,0.82
8600,0,0,0,0,0,50.0,0.583,50.0,0.763
8700,0,0,0,0,0,50.0,0.333,50.0,0.728
8800,0,0,0,0,0,50.0,0.5,50.0,0.688
8900,0,0,0,0,0,50.0,0.583,50.0,0.702
9000,0,0,0,0,0,50.0,0.583,50.0,0.773
9100,0,0,0,0,0,50.0,0.333,50.0,0.735
9200,0,0,0,0,0,50.0,0.5,50.0,0.691
9300,0,0,0,0,0,50.0,0.417,50.0,0.754
9400,0,0,0,0,0,50.0,0.5,50.0,0.676
9500,0,0,0,0,0,50.0,0.5,50.0,0.728
9600,0,0,0,0,0,50.0,0.25,50.0,0.775
9700,0,0,0,0,0,50.0,0.5,50.0,0.744
9800,0,0,0,0,0,50.0,0.417,50.0,0.732
9900,0,0,0,0,0,50.0,0.5,50.0,0.76
10000,0,0,0,0,0,50.0,0.333,50.0,0.742
10100,0,0,0,0,0,50.0,0.5,50.0,0.73
10200,0,0,0,0,0,50.0,0.417,50.0,0.709
10300,0,0,0,0,0,50.0,0.5,50.0,0.769
10400,0,0,0,0,0,50.0,0.25,50.0,0.733
10500,0,0,0,0,0,50.0,0.583,50.0,0.705
10600,0,0,0,0,0,50.0,0.5,50.0,0.694
10700,0,0,0,0,0,50.0,0.583,50.0,0.785
10800,0,0,0,0,0,50.0,0.417,50.0,0.728
10900,0,0,0,0,0,50.0,0.75,50.0,0.741
11000,0,0,0,0,0,50.0,0.583,50.0,0.731
11100,0,0,0,0,0,50.0,0.417,50.0,0.735
11200,0,0,0,0,0,50.0,0.417,50.0,0.76
11300,0,0,0,0,0,50.0,0.5,50.0,0.746
11400,0,0,0,0,0,50.0,0.583,50.0,0.749
11500,0,0,0,0,0,50.0,0.583,50.0,0.814
11600,0,0,0,0,0,50.0,0.583,50.0,0.748
11700,0,0,0,0,0,50.0,0.5,50.0,0.804
11800,0,0,0,0,0,50.0,0.417,50.0,0.771
11900,0,0,0,0,0,50.0,0.5,50.0,0.765
12000,0,0,0,0,0,50.0,0.5,50.0,0.76
12100,0,0,0,0,0,50.0,0.333,50.0,0.736
12200,0,0,0,0,0,50.0,0.25,50.0,0.822
12300,0,0,0,0,0,50.0,0.417,50.0,0.711
12400,0,0,0,0,0,50.0,0.417,50.0,0.72
12500,0,0,0,0,0,50.0,0.5,50.0,0.702
12600,0,0,0,0,0,50.0,0.417,50.0,0.728
12700,0,0,0,0,0,50.0,0.417,50.0,0.758
12800,0,0,0,0,0,50.0,0.667,50.0,0.726
12900,0,0,0,0,0,50.0,0.583,50.0,0.763
13000,0,0,0,0,0,50.0,0.417,50.0,0.684
13100,0,0,0,0,0,50.0,0.5,50.0,0.679
13200,0,0,0,0,0,50.0,0.25,50.0,0.703
13300,0,0,0,0,0,50.0,0.5,50.0,0.792
13400,0,0,0,0,0,50.0,0.333,50.0,0.71
13500,0,0,0,0,0,50.0,0.333,50.0,0.741
13600,0,0,0,0,0,50.0,0.583,50.0,0.724
13700,0,0,0,0,0,50.0,0.333,50.0,0.707
13800,0,0,0,0,0,50.0,0.75,50.0,0.693
13900,0,0,0,0,0,50.0,0.5,50.0,0.772
14000,0,0,0,0,0,50.0,0.667,50.0,0.708
14100,0,0,0,0,0,50.0,0.417,50.0,0.693
14200,0,0,0,0,0,50.0,0.5,50.0,0.727
14300,0,0,0,0,0,50.0,0.583,50.0,0.747
14400,0,0,0,0,0,50.0,0.75,50.0,0.741
14500,0,0,0,0,0,50.0,0.417,50.0,0.765
14600,0,0,0,0,0,50.0,0.5,50.0,0.749
14700,0,0,0,0,0,50.0,0.5,50.0,0.742
14800,0,0,0,0,0,50.0,0.667,50.0,0.71
14900,0,0,0,0,0,50.0,0.333,50.0,0.687
15000,0,0,0,0,0,50.0,0.333,50.0,0.762
15100,0,0,0,0,0,50.0,0.667,50.0,0.762
15200,0,0,0,0,0,50.0,0.667,50.0,0.719
15300,0,0,0,0,0,50.0,0.333,50.0,0.77
15400,0,0,0,0,0,50.0,0.583,50.0,0.764
15500,0,0,0,0,0,50.0,0.417,50.0,0.843
15600,0,0,0,0,0,50.0,0.25,50.0,0.767
15700,0,0,0,0,0,50.0,0.417,50.0,0.762
15800,0,0,0,0,0,50.0,0.583,50.0,0.803
15900,0,0,0,0,0,50.0,0.417,50.0,0.736
16000,0,0,0,0,0,50.0,0.333,50.0,0.797
16100,0,0,0,0,0,50.0,0.5,50.0,0.73
16200,0,0,0,0,0,50.0,0.417,50.0,0.738
16300,0,0,0,0,0,50.0,0.75,50.0,0.725
16400,0,0,0,0,0,50.0,0.5,50.0,0.701
16500,0,0,0,0,0,50.0,0.75,50.0,0.75
16600,0,0,0,0,0,50.0,0.5,50.0,0.801
16700,0,0,0,0,0,50.0,0.5,50.0,0.741
16800,0,0,0,0,0,50.0,0.583,50.0,0.786
16900,0,0,0,0,0,50.0,0.667,50.0,0.749
17000,0,0,0,0,0,50.0,0.583,50.0,0.71
17100,0,0,0,0,0,50.0,0.5,50.0,0.756
17200,0,0,0,0,0,50.0,0.5,50.0,0.778
17300,0,0,0,0,0,50.0,0.333,50.0,0.768
17400,0,0,0,0,0,50.0,0.667,50.0,0.761
17500,0,0,0,0,0,50.0,0.75,50.0,0.756
17600,0,0,0,0,0,50.0,0.5,50.0,0.75
17700,0,0,0,0,0,50.0,0.5,50.0,0.718
17800,0,0,0,0,0,50.0,0.583,50.0,0.722
17900,0,0,0,0,0,50.0,0.667,50.0,0.726
18000,0,0,0,0,0,50.0,0.583,50.0,0.7
18100,0,0,0,0,0,50.0,0.583,50.0,0.713
18200,0,0,0,0,0,50.0,0.25,50.0,0.691
18300,0,0,0,0,0,50.0,0.583,50.0,0.732
18400,0,0,0,0,0,50.0,0.583,50.0,0.724
18500,0,0,0,0,0,50.0,0.333,50.0,0.7
18600,0,0,0,0,0,50.0,0.5,50.0,0.774
18700,0,0,0,0,0,50.0,0.75,50.0,0.738
18800,0,0,0,0,0,50.0,0.5,50.0,0.744
18900,0,0,0,0,0,50.0,0.667,50.0,0.738
19000,0,0,0,0,0,50.0,0.583,50.0,0.699
19100,0,0,0,0,0,50.0,0.25,50.0,0.797
19200,0,0,0,0,0,50.0,0.583,50.0,0.813
19300,0,0,0,0,0,50.0,0.583,50.0,0.693
19400,0,0,0,0,0,50.0,0.917,50.0,0.788
19500,0,0,0,0,0,50.0,0.583,50.0,0.79
19600,0,0,0,0,0,50.0,0.5,50.0,0.729
19700,0,0,0,0,0,50.0,0.833,50.0,0.725
19800,0,0,0,0,0,50.0,0.25,50.0,0.741
19900,0,0,0,0,0,50.0,0.5,50.0,0.802
20000,0,0,0,0,0,50.0,0.5,50.0,0.737
20100,0,0,0,0,0,50.0,0.75,50.0,0.758
20200,0,0,0,0,0,50.0,0.75,50.0,0.771
20300,0,0,0,0,0,50.0,0.583,50.0,0.774
20400,0,0,0,0,0,50.0,0.417,50.0,0.689
20500,0,0,0,0,0,50.0,0.667,50.0,0.763
20600,0,0,0,0,0,50.0,0.5,50.0,0.769
20700,0,0,0,0,0,50.0,0.5,50.0,0.792
20800,0,0,0,0,0,50.0,0.333,50.0,0.82
20900,0,0,0,0,0,50.0,0.583,50.0,0.723
21000,0,0,0,0,0,50.0,0.583,50.0,0.701
21100,0,0,0,0,0,50.0,0.583,50.0,0.765
21200,0,0,0,0,0,50.0,0.583,50.0,0.725
21300,0,0,0,0,0,50.0,0.417,50.0,0.682
21400,0,0,0,0,0,50.0,0.417,50.0,0.707
21500,0,0,0,0,0,50.0,0.5,50.0,0.804
21600,0,0,0,0,0,50.0,0.583,50.0,0.744
21700,0,0,0,0,0,50.0,0.667,50.0,0.744
21800,0,0,0,0,0,50.0,0.5,50.0,0.726
21900,0,0,0,0,0,50.0,0.333,50.0,0.721
22000,0,0,0,0,0,50.0,0.25,50.0,0.739
22100,0,0,0,0,0,50.0,0.167,50.0,0.747
22200,0,0,0,0,0,50.0,0.583,50.0,0.738
22300,0,0,0,0,0,50.0,0.5,50.0,0.727
22400,0,0,0,0,0,50.0,0.667,50.0,0.644
