round,moody_avg_mood,moody_avg_score,moody_avg_connectivity,sarsa_avg_score,sarsa_avg_connectivity,tft_avg_score,tft_avg_connectivity,wsls_avg_score,wsls_avg_connectivity
25700,99.667,3.37,0.359,3.673,0.0,50.0,0.473,50.0,0.457
25800,99.667,3.37,0.362,3.673,0.0,50.0,0.467,50.0,0.445
25900,99.667,3.371,0.359,3.673,0.0,50.0,0.468,50.0,0.45
26000,99.6,3.372,0.364,3.673,0.0,50.0,0.479,50.0,0.47
26100,97.833,3.369,0.532,3.675,0.272,50.0,0.537,50.0,0.54
26200,98.9,3.368,0.403,3.676,0.06,50.0,0.479,50.0,0.468
26300,99.667,3.368,0.363,3.676,0.01,50.0,0.478,50.0,0.446
26400,99.733,3.369,0.362,3.676,0.001,50.0,0.468,50.0,0.442
26500,99.833,3.369,0.358,3.675,0.0,50.0,0.462,50.0,0.469
26600,99.467,3.37,0.353,3.675,0.0,50.0,0.45,50.0,0.451
26700,99.7,3.37,0.36,3.675,0.0,50.0,0.467,50.0,0.472
26800,99.667,3.371,0.358,3.675,0.0,50.0,0.459,50.0,0.446
26900,99.767,3.372,0.354,3.675,0.0,50.0,0.465,50.0,0.449
27000,99.667,3.372,0.355,3.675,0.0,50.0,0.469,50.0,0.444
27100,98.5,3.37,0.535,3.677,0.277,50.0,0.538,50.0,0.52
27200,99.0,3.369,0.413,3.677,0.051,50.0,0.473,50.0,0.454
27300,99.6,3.369,0.372,3.677,0.009,50.0,0.473,50.0,0.447
27400,99.667,3.369,0.359,3.677,0.0,50.0,0.452,50.0,0.433
27500,99.867,3.37,0.365,3.677,0.0,50.0,0.461,50.0,0.446
27600,99.667,3.371,0.358,3.677,0.0,50.0,0.463,50.0,0.447
27700,99.7,3.371,0.36,3.677,0.0,50.0,0.474,50.0,0.466
27800,99.733,3.372,0.358,3.677,0.0,50.0,0.436,50.0,0.447
27900,99.833,3.372,0.362,3.677,0.0,50.0,0.468,50.0,0.458
28000,99.6,3.373,0.361,3.677,0.0,50.0,0.466,50.0,0.454
28100,97.967,3.37,0.531,3.678,0.274,50.0,0.558,50.0,0.525
28200,99.333,3.369,0.399,3.678,0.054,50.0,0.472,50.0,0.452
28300,99.5,3.369,0.364,3.677,0.009,50.0,0.463,50.0,0.455
28400,99.833,3.37,0.361,3.677,0.001,50.0,0.481,50.0,0.464
28500,99.767,3.371,0.359,3.677,0.0,50.0,0.475,50.0,0.458
28600,99.8,3.371,0.36,3.677,0.0,50.0,0.456,50.0,0.45
28700,99.8,3.372,0.355,3.677,0.0,50.0,0.455,50.0,0.443
28800,99.733,3.372,0.361,3.677,0.0,50.0,0.472,50.0,0.436
28900,99.633,3.373,0.359,3.677,0.0,50.0,0.471,50.0,0.454
